GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc01_note_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00081571	From: John K. Lester: 「向かっているぞ!」10/23/77
GID00081572	すぐそっちに着くぞ、Eve!
GID00081573	私がそこに行くまで隠れているんだ。何が必要であってもね。いいかい!?
GID00081574	君に対して何かをさせたりはしない。
GID00081575	---------------------------------
GID00081576	From: Evelyn A. Sainz: 「John,助けて!」10/23/77
GID00081577	全部爆発したの!煙が見えるわ。ホログラムが人に向かって発砲している!私たち外に出られないの、John!
GID00081578	お願い!
GID00081579	これは自動販売機用の制限されたディスペンサーコードです。
GID00081580	この仕事は割に合わない!ここに歩くライトショーを持ってくることを考えただけで憂鬱になる。それにそのエレベーター… Sinclairはエレベーターのロックがあんなに危険だと知っているのか?もし誰か…たとえばSinclair本人…がdeadmanのスイッチをうっかり彼のVaultの中で起動させたら…この場所は巨大な金属の棺おけになるぞ。Louはその危険性を説こうとしたが、Sinclairはそれはただの「不注意」だと言って取り合わない。
GID00081581	これは自動販売機用の制限されたディスペンサーコードです。
GID00081582	セキュリティメモ
GID00081583	Sierra Madre 職員へ、
GID00081584	セキュリティホログラムの改ざんや破壊はやめていだたくようにと、Mr. Sinclairからの要望があった。ホログラムは我々と-そしてお客様の-安全を守る事を忘れないで欲しい。
GID00081585	ありがとう、
GID00081586	Sierra Madre マネジメント
GID00081587	絶対に必要でない限り使わないように。
GID00081588	Vaultは立ち入り禁止だ。Mr. Sinclairの許可が無ければ誰も入る事はできない。
GID00081589	ただし、何かセキュリティシステムに異常が発生した場合、Vaultチャンバー内のタレット-ディフェンスターミナルで以下のパスワードを使うこと:
GID00081590	"HeartArrow"
GID00081591	Lou Martin
GID00081592	M&M Construction Inc.
GID00081593	クルーチーフ。
GID00081594	俺たちが換気チャンバーを調べることができるように、新しい化学スーツが今日届いた。おかげでその毒雲のカクテルがどう形成されたかを観察できた。 スーツはちょっと気味が悪く、話しにくいんで、実際にお互いコミュニケーションを取るのに手話を使わなければならなかった。 ともあれこのスーツのおかげで、俺たちはパイプと換気チャンバーを調べることができる。
GID00081595	それでもやはりガスは心配だ。 あの連中はガスでボロボロになっちまった。 もしチェンパーがガスで充満してしまったら…ガスがそこから漏れ、人っ子一人いなくなったVillaは見たくない。
GID00081596	*** パワーステータス ***
GID00081597	非重要システム
GID00081598	* 音楽スピーカー: Offline
GID00081599	これは自動販売機用の制限されたディスペンサーコードです。
GID00081600	Automatic Rifleの発砲速度を上昇させます。
GID00081601	*** パワーステータス ***
GID00081602	非重要システム
GID00081603	* 音楽スピーカー: Powered
GID00081604	この引換券をお持ちの方へのサービス:
GID00081605	"代金はいりません!"
GID00081606	どうか…
GID00081607	…元気よくお楽しみください
GID00081608	[悪用された場合
GID00081609	全ての「無料サービス」を
GID00081610	お断りさせていただきます。]
GID00081611	これはSierra Madreの標準的な「メンテナンスパス」のようだ。
GID00081612	Minimum power level required: 43%
GID00081613	Power currently supplied: 85%
GID00081614	Acceptable variation from norm: +/- 15%
GID00081615	Largest variation in past 24 hours: 36%
GID00081616	自動システム:Offline
GID00081617	警告: 出力の異常な変化が検出されました。 エネルギーの大量消費は、あらゆる手段を尽くして回避されなければなりません。 すぐに、担当している班長にこれを報告してください。
GID00081618	これは自動販売機用の制限されたディスペンサーコードです。
GID00081619	Holorifleのダメージを上昇させます。
GID00081620	これは自動販売機用の制限されたディスペンサーコードです。
GID00081621	Holorifleのダメージを増やすようだ。
GID00081622	To: William Ennis
GID00081623	From: Konrad Simmons
GID00081624	だあぁ、Ennis、何度お前に言えばいいんだ?リモートメンテナンスターミナルのパスワードはT7GF0SEWだ。
