GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc01_dialogue_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00077068	[Christineは嬉しそうにうなずいている。彼女はターミナルの方に目をやり、そしてあなたを見て微笑み、親指を立てる仕草をした。
GID00077069	Sierra MadreのGrand Openingだと思う。沢山の明り、音楽、作品たち。
GID00077070	そして彼はGala Eventを利用するつもりだ… カジノを開くために?しかし… これは… 興味深い。
GID00077071	おまえが下の中庭に何体かのホログラムガードのスイッチを入れない限り?お断りだ。
GID00077072	おいおいおい… この町の真ん中で?たった一人で?ライトショー付きの屋根の上で?
GID00077073	こんなのはどうだ ― その Cosmic steak knives を1本探してきて、それから俺は手首を切り裂く、これで痛みも少なく万事解決だ。
GID00077074	あぁ、今はな。捕らわれの客ってのはまさにこのことさ。或いは捕らわれの芸人か? まあ ― どうでもいい。
GID00077075	愚かだと? いいや、抜け目ない行動さ。お前はバカな奴だ、ここの主役が誰かも知らずにワルツを踊ってやがる。
GID00077076	例え8つの命と舞い上がるようなサウンドトラックを用意していなくても、お前のようなバカなら捕まえられる。ダンスシューズは履いたか - 始めよう。
GID00077077	わからない… ここで目を覚ましたが、一瞬夢かとも思った… すぐ後ろにステージ、そしてマイク…
GID00077078	自分がフロンド(*戦前のカジノ)に戻ったのかと思った… ま、観客がいないのを除けばだけどな。当時なら劇場は満席だったはずだし… それからステージに登って、色々調べてた…
GID00077079	そしたら突然、舞台袖からホログラムが歩いて来たんだ… そして奴らは気味の悪いことに、全員が手を頭の上へ持ち上げた。良いサインだとは思えなかった。
GID00077080	いーや…Puesta del Sol の屋根のことだな。昔は素敵な眺めだったよ。今? このイベントが終わるときには誰もがそこに居たがるような、最低の場所さ。
GID00077081	そこは春、夏、それから秋と冬の少しの間、Ghost People にとっての最良のリゾート地なんだ。隣人として好ましくは無いな。
GID00077082	そこへ行くっていうなら、俺は一人では行かないぜ。それともそこを散歩したくなるような、俺がそこへ留まりたくなるような素敵なアイデアがあるっていうのかい? ごめんだね。
GID00077083	いいや… 嫌だね。お断りだ… 私はこの場所を離れない。Sierra Madreがお前を殺してくれるのになぜ私が自分の手を汚さないといけないんだ?
GID00077084	ちょっとしたショーの時間だ ― 私はただ席に座ってどう演じてみせるかバックステージから眺めさせてもらおう。セキュリティはここから操作できるんだ。
GID00077085	その、俺は長ったらしい感謝のスピーチよりも短い別れを好む方なんだ…だが俺を困った立場から救い出してくれたことには感謝するよ ― 相棒。
GID00077086	君がただの親切心でやったわけじゃないのは分かってる。だから、俺から君へもう少し役立つものを与えさせてくれないか ― 我々二人ともが先に進む方法をね。
GID00077087	私は、あなたがただの親切心でやったわけじゃないと知ってる。だから… 空っぽの言葉と派手な身ぶりの代わりに、もっと役に立つものを与えようじゃないか。
GID00077088	いいや、私じゃない。私は時間内に出るだろう ― お前は違うだろうが。お前を殺してしまえば、私はステージから去って、そして私の首輪は大人しくなるだろうさ。
GID00077089	お前は私が悪人だと思うのか? 私は潔白な人々に爆弾首輪を着せてスイッチを軽く弾いたりはしていないぞ。
GID00077090	それに私はお前を背中から刺していない。私は常にお前と顔を合わせていた。この強盗だと? 私は人生のずっと前からこの計画を立てていた。お前とその老人はどうだ? ただ観光客だよ。
GID00077091	その時は既に屋上からトンズラこいてる最中だった。ライトショーが始まる前にゲートを突破する為、サービストンネルを通ってな…
GID00077092	…そして Vera が Gala のスピーチを終える前にな…俺は、ストリートの"音楽"と空のライトと共に何が起きたのかを把握した…Ghost People さ。盛り沢山だ。
GID00077093	それはつまり、正門が開いたことも示していた。何年も待ち続けた後で、ここでミスることは許されなかった。それで…中へ歩いていったんだ…それから…
GID00077094	俺かい? その時は既に屋上からトンズラこいてる最中だった。ライトショーが始まる前にゲートを突破する為、サービストンネルを通ってな…
GID00077095	…そして Vera が Gala のスピーチを終える前にな…俺は、ストリートの"音楽"と空のライトと共に何が起きたのかを把握した…Ghost People さ。盛り沢山だ。
GID00077096	だがそれで困るのは君だった。とにかく正門が開いていた以上、君を中へ通すしかなかった。中へ入ると… 閃光が瞬いた… そしてここにいるんだ。
GID00077097	きっと Sinclair のセキュリティだったんだろうな… カジノへの脅威に対して色んな対策を取っていたからな。セキュリティシステムはそうしてピリピリしているんだ。
GID00077098	とはいえ俺はここじゃ迎賓待遇なんだ。俺が上等な待遇を受けたのもそういうことだったんだろう。
GID00077099	よろしい。もし必要なら、Villaの放送システムを通して誘導しよう―もし道に迷ったなら、ここに戻れ。私が指示しよう。
GID00077100	君がそれを読めない場合に備え…Pip-Boyに音声ログで指示内容をダウンロードした。なぜ君がここにいるのか忘れたなら、私の声で思い出すが良い。
GID00077101	では行け。Sierra Madreは待つかもしれないが…私は違う。
GID00077102	私には忍耐が不足してる。そして君には時間が不足している。
GID00077103	何を?
GID00077104	指示内容と目印をお前のPip-Boyにダウンロードした……お前が忘れた場合に備えて。そうだ、私はお前の手首の装置にアクセスした。
GID00077105	他の三人をここに連れて来い。その後……お前にさらなる指示がある。
GID00077106	行えば、お前を解放しよう。お前達を解放しよう。
GID00077107	[Christineはエレベーターに目をやり、不安げな様子を見せた。そしてあなたの方に振り返り、しぶしぶ頭を横に振った。]
GID00077108	[彼女は眉をひそめ、それからキーをタイプするかのような動作をして… 次に彼女はあなたを指して、彼女の左手首を持ち上げて身ぶりでそれと話し始めます。]
GID00077109	 [彼女はあなたを、そして自分自身を指差し、左右を見て、2本の指を立て、タイプを試み、中断、そしてゆっくりと頭を横に振った。]
GID00077110	[彼女は真面目な顔で微笑んだ。そしてゆっくり一度うなずいてから、頭を横にゆっくりと振った。]
GID00077111	[それから彼女はあなたを見て、彼女のその真面目な顔にしわを寄せた。]
GID00077112	[彼女はメインゲートの方を指差し、それからあなたの首輪を指し、頭を横に振り、自分の首の周りを掴んだ。]
GID00077113	[そして彼女の手を外側へ振り、指を広げ、目を下げる。あなたに振り返って少し後、首を横に振る。]
GID00077114	[SUCCEEDED] [彼女はうなずく…ゆっくりと。それから自分の喉に手を置き、ゆっくりと閉め、そしてあなたを指差す。]
GID00077115	[FAILED] [彼女は眉をひそめ、目を細め、そしてあなたを見る。]
GID00077116	[彼女は指を輪を描くように動かすと、眉をひそめて、彼女の手を目の上まで引き下ろしました。彼女はそれらを再び持ち上げると、あなたを指さします。]
GID00077117	観光客かい、もちろんさ。彼らは長くは留まらない…そして長くは生き残れない。
GID00077118	もし彼らが雲、Ghost People、罠を乗り切ったとしても次は欲望に捕らわれ、皆葬儀服のサイズ合わせを始めることになるんだ。
GID00077119	"生きているもの"は扱いにくい言葉だ。地元民、Ghost People? 彼らをそう呼んでいいものか。
GID00077120	彼らはちょっとばかり… 野蛮だった。彼らはあまり話をしない。全てにおいて、だ。
GID00077121	なぜ? 生き残るためだよ。私は立ち去るためにもっと居住区画から供給品を漁る必要があった。そして私は可能性に賭けるのは好きじゃないんだ。
GID00077122	Villaは危険なんだ。だから私は自分が危うい立場になったときの為に武器とスティムパックを残しておいた。そんな時に、あなたが現れて、全てはあなたの手の上に置かれたんだ。
GID00077123	非常時にはその資格が与えられるだろう、だから私は文句は言わない。多くはな。
GID00077124	[Christineは首を横に振り、そして中断し、親指と人差し指で小さな円を作る。]
GID00077125	[彼女はあなたを指差し、手のひらに何かを置く動作をする。]
GID00077126	[成功] [Christineは眉をひそめ、そしてためらい、指で彼女の頭の傷跡の1つをたどる。]
GID00077127	[彼女は鉛筆を手に取る様な動作をして書こうとする。そして首を横に振る。]
GID00077128	[失敗] [Christineはうなずき、眉をひそめ、そしてあなたを指差し、西を指差す。そしてあなたを睨む。]
GID00077129	[Christineは空中にギザギザの稲妻を描き、グレネードを投げる動作を行なう。そして想像上のナイフを背後から抜く。]
GID00077130	[それから足を肩幅に開き、手を格闘技の構えで挙げ、そして両手をピストルに変え、連射する動作を行なう。]
GID00077131	[彼女はそれから一丁のピストルを上げ、銃身があるかの様に狙いをつけ、一発撃ち、うなずいて終える。]
GID00077132	あの小さな売店のことか? Sinclairのおもちゃ箱に、カジノのチップを入れれば、お前は芸をする犬みたいにご馳走がもらえるぞ。
GID00077133	どれでもいいからカジノのチップを手に入れて、そいつを機械に入れるんだ。そうしたら何かが出てくるだろう ― スナック、コーラ、シャツの綻びを直すようなものとかな。
GID00077134	時には、何を尋ねるか正しく知っておかなきゃな。他の場合は、ここにあるコードだと… えっと、普段は扱わない項目だ。非常用だな。
GID00077135	この雲?爆弾が落ちた後に出てきたと思う。すぐに慣れたが、今や町を覆ってる。
GID00077136	これは何年にも渡って、太陽のカーテンとなるまで Sierra Madre の外へ立ち昇っていった。空はもう見えない。
GID00077137	だが Ghost People にはどうでもいいようだ。雲があると視界が悪くなるが、一方で隠れ蓑にも使える…捨て身になった時の話だけどな。
GID00077138	居住区画、クリニック、警察署 - 警察署には近づくべきではない。そこはGhost Peopleの溜まり場だ。
GID00077139	Salida del Sol、Puesta del Sol は東と西の街だ。"日の出"と"日の暮"さ。いや、通りと空が毒ガスで覆われてなかった時の話かな。
GID00077140	Ghost People は Villa にはあまり来ない。西の街と東の街、とはいっても…雲と Ghost People の密集地帯ではある。狩場のようにね。
GID00077141	長く待たせないでくれ。
GID00077142	[Christineはうなずく。]
GID00077143	何か考えがあるにしても、早くしてくれよ。
GID00077144	ぐるる。Dogは待つ。
GID00077145	もし当てはまるなら、Sierra Madre Casinoは、栄光の全てにおいて、あなたをBegin Againに招待しています。
GID00077146	富、刺激、そして陰謀が隅々に至るまで渦巻くこの場所へようこそ、
GID00077147	私たちの美しいリゾートの曲がりくねった道に沿って散策し、新しい友人を作るか… または古い情熱を再燃させてください。
GID00077148	澄み切った星明りの空の下で果てしなく広がる贅沢な砂漠の広がりに目を向けてください。我らがVillaの屋根から日の沈みゆくさまを直向きに見つめてください。
GID00077149	無数の娯楽が待ち受けています。
GID00077150	私たちのカジノで賭け事をし、劇場に足を運び、またはあなたを保護する私たちの高級重役室に滞在してください ― そしてあなたのあらゆる気まぐれを満たしてください。
GID00077151	そしてもし人生の心配ごとに押し潰されそうなら… もしあなたが問題から逃げ出す必要があるのなら… もしくはただあなたがやり直す機会を必要としているのなら、私たちに加わってください。
GID00077152	この十月、Sierra Madreのグランドオープンで世界を後にしていきましょう。私たちはお待ちしています。
GID00077153	[ホログラムのキャッシャーが頷くと、卓上の区画がそっと動き離れて、そして荷物がそこから浮かび上がる]
GID00077154	[ホログラムのキャッシャーが頷くと、卓上の区画がそっと動き離れて、そして荷物がそこから浮かび上がる]
GID00077155	[ホログラムのキャッシャーは頷いて、一歩退くと、卓上全体がすっと離れていく。荷物が開いたとことからゆっくりと競りあがって、そこからは蒸気がたなびいている。]
GID00077156	[あなたが紙幣をカウンターに置くと、パネルがひっくり返り紙幣を取っていった… そして100チップがその場所に姿を見せた。]
GID00077157	[あなたは札束を置きます。パネルがひっくり返り、それが回転するとカチカチという音が続き、札束のあった場所にチップの束が上がってきた。]
GID00077158	[Christineは一瞬首のない死体をじっと見つめます。そして次第に彼女は怒って顔をしかめます。]
GID00077159	すばやい… すばやいスクライブ… 怠惰なパラディンを飛び越えた。
GID00077160	ミ、モ、ミー。
GID00077161	こちら Brotherhood Knight Christine Royce…Christine Royce だ。
GID00077162	ウッ… 喉がひりひりする ― 爪を噛んだ後みたいだ。
GID00077163	1マイルの煙草を吸ったような気分だわ。
GID00077164	雲が口の中を這って死んだみたいな感じ。
GID00077165	Chris-tine。Chris-tine。ハロー。ハロー。ハロー。
GID00077166	[Christineは部屋を一掃するな動きをして、深く息を吸い込み、それから親指を立てました。]
GID00077167	[Christineは空気をくんくんと嗅いで、それから親指を立てました。]
GID00077168	[Christineの呼吸は速くなり、彼女の目はそわそわと壁の辺りを見回している。]
GID00077169	[Christineはひどく汗をかいているように見え、手もわずかに引きつっている。彼女は今にも逃げ出そうとしているように見える。]
GID00077170	[Christineは地面に向かってうなずき、彼女の目を指差し、そしてまた地面を指差した。まるで警告しているかのように。]
GID00077171	[Christineは地面で合図をし、彼女の手でパチンと鳴らす動作を作り、次に彼女の目を軽くたたいてから前方に向かってゆっくりと歩くふりをしました。]
GID00077172	[Christineはその地域を入念に調べます。彼女はいらいらしたように、アーケードとアーチの間に動きがないか確かめています。]
GID00077173	[Christineは偽の銃に装填する動作を作り、それから身に着けます。]
GID00077174	こんな遠くまで来て自分の声を盗まれる羽目にあるなんて信じられないわ。
GID00077175	Sierra Madreが私を治したんでしょ。それはどうでもいいわ。それよりも正直に言って、自分の声が懐かしいの。
GID00077176	あなたとElijahによるショーはもうたくさん。今度は私の番よ。
GID00077177	casino vaultへのエレベーターはここよ。starletの部屋?個人的なものみたいね。
GID00077178	とても長い間よ。このイベントが始まる前に解決する機会はあったのかもしれないけど、もっともその機会はまたそっとすり抜けて行ったわ。
GID00077179	彼は… 私を私がずっと前に気にしていた人から引き剥がしたの。。彼は自分の身分を利用して私たちを分断させた。だから私は新しい目的を探さなければならなかった。同じ旗の下で。
GID00077180	次第に彼は情緒不安定になり、ウェイストランドの至るとこに犯罪の痕跡を残したのよ。知らせが私たちのところへ届いたら、私は彼を殺すように命令を受けたわ。
GID00077181	私が? その質問からは耳をふさぎたい… 話したくないの。簡単には言えなくて… 受け入れるのは酷い苦痛だったわ。
GID00077182	私が離されてこのスイートに移された理由かもね… ここは彼女の部屋よ。あそこの彼女。私みたいにセキュリティに閉じ込めれたんでしょうね。ちょっと違うやり方でしょうけど。
GID00077183	それが私の受けた命令。私は彼の行動を見てきたから、その命令を信じてる。
GID00077184	[Christineは首を横に振ります、今回はより強情に。彼女はエレベーターを指して、次に下へ、それから彼女自身をきつく支えて首を横に振ります。]
GID00077185	[彼女はあなたを見て、再びまばたきをし、そして口を開いた―しかし何も出ない。]
GID00077186	[彼女は喉を触り、そしてあごの下の傷をたどる。そして彼女の目は恐怖で開かれた。]
GID00077187	[彼女は動揺している様に見える。彼女はAuto-Docをちらりと見て怯み、口を開ける―しかしまた、何も出ない。]
GID00077188	[彼女はあなたを振り返り、両手を固く握り締める―彼女は眼を細め、後ろに下がり、あなたを注視している。]
GID00077189	[女性は再び口を開き、顔をしかめ、そして眉をひそめ、ゆっくりとした動きで喉全体に指を這わせた。彼女は今、痛がっているよりも怒っている様に見える。]
GID00077190	[眉をひそめ、彼女は再び静かに喉を触りその手で首輪をこすった、彼女の不機嫌な表情はさらに深まる。]
GID00077191	[彼女の目は彼女が首輪の縁を辿りロックを見つけるまで細くなります。彼女は指でそれを押し始めます。]
GID00077192	[彼女は驚いて見える。それからあなたの首輪に気が付き、眉をつり上げた。]
GID00077193	[彼女は眉をひそめ、目を細め、そしてゆっくり首を横に振る。]
GID00077194	[彼女は再び首を横に振り、そして二人の間の空中に線を引く。]
GID00077195	[彼女は一旦首を横に振り、そして腕を組みます。]
GID00077196	[彼女はまっすぐ見上げて、眉をひそめ、それからあなたのところへ戻り彼女の手首をかるく叩きます。]
GID00077197	[彼女は憤慨したように見えて、それから彼女の前で手を円形に振ります。]
GID00077198	[彼女は眉をあげて、それから頭を少し傾げます。]
GID00077199	[彼女は眉をしかめ、それから耳を自分の手で覆います。]
GID00077200	[彼女は首を横に振ります… 止まって、さらにもう一度首を横に振ります。それから憤慨したように見えます。]
GID00077201	[彼女はぽかんとしてあなたを見ます。それから彼女の頭に触れて、笑って首を振ります。]
GID00077202	[彼女は手を振って、次に首を振ります - 彼女はカジノの方向に頷きます。]
GID00077203	[彼女は憤慨した表情で頷き、それから手で円を作って、それを二回繰り返します。次に彼女は手を持ち上げて翼のように振ります。]
GID00077204	[彼女は両手を前に置いて、次に何かをかくような動きを作ります。]
GID00077205	[彼女は頷きます。彼女は感銘を受けているようです。]
GID00077206	[彼女は肩をすくめます。それからあなたを指さして、肩をすくめます。]
GID00077207	[彼女は首を横に振ります。]
GID00077208	[彼女は頬の傷の一つに触れて、首を振ります。それから首の傷に触れて、頷きます。]
GID00077209	[Christineはうなずく。]
GID00077210	[彼女はかすかに震えて、そして首を横に振ります。]
